category,pattern,name,complexity,url
medium,Bit Operations,Check if the i-th bit is set or not,TC: O(1) | SC: O(1),https://www.geeksforgeeks.org/problems/check-whether-k-th-bit-is-set-or-not-1587115620/1
medium,Bit Operations,Check if a number is odd or not,TC: O(1) | SC: O(1),https://www.geeksforgeeks.org/problems/odd-or-even3618/1
medium,Bit Operations,Check if a number is power of 2 or not,TC: O(1) | SC: O(1),https://www.geeksforgeeks.org/problems/power-of-2-1587115620/1
medium,Bit Operations,Count the number of set bits,TC: O(log n) | SC: O(1),https://www.geeksforgeeks.org/problems/set-bits0143/1
medium,Bit Operations,Set/Unset the rightmost unset bit,TC: O(1) | SC: O(1),https://www.geeksforgeeks.org/problems/set-the-rightmost-unset-bit4436/1
medium,Bit Operations,Swap two numbers,TC: O(1) | SC: O(1),https://www.geeksforgeeks.org/problems/swap-two-numbers3844/1
medium,Bit Operations,Count number of bits to be flipped to convert A to B,TC: O(log n) | SC: O(1),https://leetcode.com/problems/minimum-bit-flips-to-convert-number/
medium,Bit Math,Divide two integers without using multiplication division and mod operator,TC: O(log n) | SC: O(1),https://leetcode.com/problems/divide-two-integers/
medium,Bit Math,Power(n x),TC: O(log x) | SC: O(log x),https://leetcode.com/problems/powx-n/
medium,Bit XOR,Find the number that appears odd number of times,TC: O(n) | SC: O(1),https://leetcode.com/problems/single-number/
medium,Bit XOR,Find xor of numbers from L to R,TC: O(1) | SC: O(1),https://www.geeksforgeeks.org/problems/find-xor-of-numbers-from-l-to-r/1
medium,Bit XOR,Find the two numbers appearing odd number of times,TC: O(n) | SC: O(1),https://www.geeksforgeeks.org/problems/two-numbers-with-odd-occurrences5846/1
medium,Bit Manipulation,Power Set,TC: O(2^n) | SC: O(2^n),https://leetcode.com/problems/subsets/
medium,Number Theory,Print Prime Factors of a Number,TC: O(√n) | SC: O(√n),https://www.geeksforgeeks.org/problems/prime-factors5052/1
medium,Number Theory,All Divisors of a Number,TC: O(√n) | SC: O(√n),https://www.geeksforgeeks.org/problems/all-divisors-of-a-number/1
medium,Number Theory,Sieve of Eratosthenes,TC: O(n log log n) | SC: O(n),https://www.geeksforgeeks.org/problems/sieve-of-eratosthenes5242/1
medium,Number Theory,Find Prime Factorisation of a Number using Sieve,TC: O(n log log n) | SC: O(n),https://www.geeksforgeeks.org/problems/prime-factors5052/1
