category,name,url
medium,Infix to Postfix Conversion,https://www.geeksforgeeks.org/problems/infix-to-postfix-1587115620/1
medium,Infix To Prefix Conversion,https://www.geeksforgeeks.org/problems/infix-to-prefix-notation/1
medium,Prefix to Infix Conversion,https://www.geeksforgeeks.org/problems/prefix-to-infix-conversion/1
medium,Postfix to Infix Conversion,https://www.geeksforgeeks.org/problems/postfix-to-infix-conversion/1
medium,Prefix to Postfix Conversion,https://www.geeksforgeeks.org/problems/prefix-to-postfix-conversion/1
medium,Postfix to Prefix Conversion,https://www.geeksforgeeks.org/problems/postfix-to-prefix-conversion/1
medium,Next Greater Element,https://leetcode.com/problems/next-greater-element-i/
medium,Next Greater Element 2,https://leetcode.com/problems/next-greater-element-ii/
medium,Next Smaller Element,https://www.geeksforgeeks.org/problems/immediate-smaller-element1142/1
medium,Number of NGEs to the right,https://www.geeksforgeeks.org/problems/number-of-nges-to-the-right/1
medium,Trapping Rainwater,https://leetcode.com/problems/trapping-rain-water/
medium,Sum of subarray minimum,https://leetcode.com/problems/sum-of-subarray-minimums/
medium,Asteroid Collision,https://leetcode.com/problems/asteroid-collision/
medium,Sum of subarray ranges,https://leetcode.com/problems/sum-of-subarray-ranges/
medium,Remove k Digits,https://leetcode.com/problems/remove-k-digits/
medium,Largest rectangle in a histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/
medium,Maximal Rectangles,https://leetcode.com/problems/maximal-rectangle/
medium,Sliding Window maximum,https://leetcode.com/problems/sliding-window-maximum/
medium,Stock span problem,https://leetcode.com/problems/online-stock-span/
medium,The Celebrity Problem,https://leetcode.com/accounts/login/?next=/problems/find-the-celebrity/
medium - imp,LRU cache,https://leetcode.com/problems/lru-cache/
medium,LFU cache,https://leetcode.com/problems/lfu-cache/
